City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptin,Country,Date
Bubaque,11.28,-15.83,80.42,56,5,6.6,clear sky,GW,2020-12-14 03:49:30
Cape Town,-33.93,18.42,61,93,0,5.82,clear sky,ZA,2020-12-14 03:49:28
Cherskiy,68.75,161.3,-19.41,87,100,5.77,overcast clouds,RU,2020-12-14 03:49:30
Rikitea,-23.12,-134.97,76.1,68,42,4.14,scattered clouds,PF,2020-12-14 03:49:31
Kavieng,-2.57,150.8,85.96,69,100,10.45,overcast clouds,PG,2020-12-14 03:49:31
Severo-Kurilsk,50.68,156.12,34.52,88,100,47.49,overcast clouds,RU,2020-12-14 03:53:19
Weyburn,49.67,-103.85,-11.2,83,0,4.7,clear sky,CA,2020-12-14 03:53:34
Souillac,-20.52,57.52,75.2,94,75,12.75,light intensity shower rain,MU,2020-12-14 03:57:28
Kapaa,22.08,-159.32,80.6,69,90,9.17,overcast clouds,US,2020-12-14 03:57:28
Saldanha,-33.01,17.94,51.8,81,47,1.12,scattered clouds,ZA,2020-12-14 03:57:29
Katsuura,35.13,140.3,59,51,75,24.16,broken clouds,JP,2020-12-14 03:57:29
Gimli,50.63,-96.99,1.4,77,40,11.41,scattered clouds,CA,2020-12-14 03:57:29
Sinegorsk,47.17,142.5,14,85,75,6.71,light shower snow,RU,2020-12-14 03:57:29
Esso,55.93,158.7,13.68,88,100,4.14,overcast clouds,RU,2020-12-14 03:57:29
Ushuaia,-54.8,-68.3,42.8,75,40,21.92,scattered clouds,AR,2020-12-14 03:49:33
Qasigiannguit,68.82,-51.19,24.8,79,100,14.99,light snow,GL,2020-12-14 03:49:33
Labuhan,-6.88,112.21,80.06,80,100,6.96,overcast clouds,ID,2020-12-14 03:49:34
Aras,42.56,-2.36,46,100,0,3.65,clear sky,ES,2020-12-14 03:49:34
Punta Arenas,-53.15,-70.92,42.8,75,53,12.75,broken clouds,CL,2020-12-14 03:49:34
Lufkin,31.34,-94.73,44.6,93,90,16.11,overcast clouds,US,2020-12-14 03:49:34
Vardo,70.37,31.11,31.68,91,100,8.9,overcast clouds,NO,2020-12-14 03:49:35
San Cristobal,7.77,-72.22,61.63,77,79,1.97,broken clouds,VE,2020-12-14 03:49:35
Puerto Ayora,-0.74,-90.35,73,93,99,11.01,overcast clouds,EC,2020-12-14 03:49:35
Fortuna,40.6,-124.16,48,94,41,2.55,scattered clouds,US,2020-12-14 03:49:36
Svecha,58.28,47.52,9.32,95,100,7.54,overcast clouds,RU,2020-12-14 03:49:36
Bluff,-46.6,168.33,59,72,84,11.99,broken clouds,NZ,2020-12-14 03:49:36
Mugur-Aksy,50.35,90.5,0.18,83,66,3.42,broken clouds,RU,2020-12-14 03:49:36
Talnakh,69.49,88.4,-20.2,75,0,6.71,clear sky,RU,2020-12-14 03:49:36
Castro,-24.79,-50.01,64.56,92,29,5.03,scattered clouds,BR,2020-12-14 03:49:37
Tasiilaq,65.61,-37.64,32.32,93,100,21.7,overcast clouds,GL,2020-12-14 03:49:37
Licata,37.11,13.95,48,93,0,5.82,clear sky,IT,2020-12-14 03:49:37
Lagoa,39.05,-27.98,57.04,62,25,30.04,scattered clouds,PT,2020-12-14 03:49:38
East London,-33.02,27.91,66.2,93,0,4.7,clear sky,ZA,2020-12-14 03:49:38
Kapuskasing,49.42,-82.43,10.4,85,99,2.24,overcast clouds,CA,2020-12-14 03:49:38
Itoman,26.12,127.67,69.8,68,75,17.22,broken clouds,JP,2020-12-14 03:49:38
Meadow Lake,34.8,-106.54,28.4,54,40,1.63,scattered clouds,US,2020-12-14 03:49:38
Upernavik,72.79,-56.15,23.16,98,100,0.74,light snow,GL,2020-12-14 03:49:39
Flinders,-34.58,150.86,73,75,100,8.01,overcast clouds,AU,2020-12-14 03:47:56
Petropavlovsk-Kamchatskiy,53.05,158.65,33.8,74,90,29.08,light shower snow,RU,2020-12-14 03:47:16
Saint-Philippe,-21.36,55.77,78.8,83,75,21.92,light rain,RE,2020-12-14 03:49:39
Roald,62.58,6.13,44.6,62,100,10.29,overcast clouds,NO,2020-12-14 03:49:40
Chupa,66.27,33.05,24.71,98,100,1.77,overcast clouds,RU,2020-12-14 03:49:40
Atuona,-9.8,-139.03,78.89,78,0,13.76,clear sky,PF,2020-12-14 03:49:40
Bredasdorp,-34.53,20.04,50,93,1,3.36,clear sky,ZA,2020-12-14 03:49:41
Vaini,-21.2,-175.2,82.4,78,75,13.87,light rain,TO,2020-12-14 03:49:41
Hegang,47.4,130.37,-0.51,74,0,9.1,clear sky,CN,2020-12-14 03:49:41
Avarua,-21.21,-159.78,84.2,74,4,6.93,clear sky,CK,2020-12-14 03:49:41
Saskylakh,71.92,114.08,-23.67,83,100,16.8,overcast clouds,RU,2020-12-14 03:49:42
Elko,41,-115.5,24.8,85,90,8.05,snow,US,2020-12-14 03:49:42
Lakes Entrance,-37.88,147.98,82.99,47,0,7,clear sky,AU,2020-12-14 03:49:42
Omboue,-1.57,9.26,75.97,90,89,5.5,overcast clouds,GA,2020-12-14 03:49:42
Petauke,-14.24,31.33,66.25,97,100,2.48,moderate rain,ZM,2020-12-14 03:49:42
Qui Nhon,13.77,109.23,79.77,82,48,5.73,light rain,VN,2020-12-14 03:49:43
Butaritari,3.07,172.79,82.04,77,4,18.14,clear sky,KI,2020-12-14 03:49:43
Mataura,-46.19,168.86,59,72,91,11.99,overcast clouds,NZ,2020-12-14 03:49:43
Visnes,59.36,5.22,46,75,100,25.28,light rain,NO,2020-12-14 03:49:43
Santa Maria,-29.68,-53.81,69.8,94,0,4.7,clear sky,BR,2020-12-14 03:46:06
Albany,42.6,-73.97,37.99,84,58,1.01,broken clouds,US,2020-12-14 03:48:09
Busselton,-33.65,115.33,68,51,39,7.36,scattered clouds,AU,2020-12-14 03:49:44
Lebu,-37.62,-73.65,51.53,83,2,11.36,clear sky,CL,2020-12-14 03:49:44
Hithadhoo,-0.6,73.08,82.56,76,98,17.58,overcast clouds,MV,2020-12-14 03:49:44
Marsa Matruh,31.35,27.25,58.26,72,0,21.43,clear sky,EG,2020-12-14 03:49:45
Khatanga,71.97,102.5,-14.42,88,100,8.95,overcast clouds,RU,2020-12-14 03:49:45
Mahon,39.89,4.27,53.6,93,0,3.36,clear sky,ES,2020-12-14 03:49:45
Pevek,69.7,170.31,14.65,89,100,18.75,overcast clouds,RU,2020-12-14 03:49:45
Mochalishche,56.33,48.35,1.4,84,0,6.71,clear sky,RU,2020-12-14 03:49:46
Talaya,61.38,152.75,-26.91,82,100,4.72,overcast clouds,RU,2020-12-14 03:49:46
Urengoy,65.97,78.37,5.49,95,100,8.03,overcast clouds,RU,2020-12-14 03:49:46
Qaanaaq,77.48,-69.36,23.05,90,100,4.65,overcast clouds,GL,2020-12-14 03:49:46
